parameter,value,scope,authority,behavior
transport_profile,DUAL_SHARED_PLUS_EVENT_LOCAL,per AV filter generation,AOSP MediaEvent/JNI dual representation,shared fitting slot preferred; event-local exact-size fallback consumes same budget
combined_live_entry_ceiling,8,per AV filter generation,source-derived shared backing capacity + single ledger,shared and event-local allocations both consume one entry; no reuse before terminal release
combined_live_byte_budget,8388608,per AV filter generation,resource-safety bound derived from existing 8 x 1 MiB backing; not codec AU maximum,shared/event-local live bytes charged together; no lossless-delivery guarantee
service_reserved_byte_budget,snapshot.av_filter_count * 8388608,service instance,CapabilitySnapshot,C1 evaluates to 2 * 8388608 = 16777216; reserved atomically with runtime candidate tuple
shared_slot_count,8,per AV filter,source-derived allocator,implementation optimization; consumes combined entries/bytes
shared_slot_size_bytes,1048576,per shared slot,source-derived allocator,fitting free slot preferred; not a codec maximum
event_local_max_bytes,"remaining per-filter budget, at most 8388608",per allocation,combined byte ledger,exact-size only when request <= 8388608 and fits remaining budget; 8388609 is rejected before publication
allocation_failure,UNAVAILABLE_OR_TYPED_OVERFLOW_BEFORE_CALLBACK,per event,allocation transaction,drop event; publish no dataId; never evict live allocation; oversize and exhaustion are distinguishable diagnostics
data_id,CHECKED_POSITIVE_SIGNED_63_BIT_NEVER_REUSED,service lifetime,AV ledger,exhaustion rejects allocation
delivered_lifetime,ACTIVE_OR_RELEASE_ONLY_UNTIL_RELEASE,allocation,release matrix,flush/reconfigure/logical close never reclaim delivered storage
