standard,table_id_or_range,table_name,section_length_max,total_section_bytes_max,parser_owner,primary_locator,delivery_class
STD-B10 5.13-E1,0x40-0x41,NIT actual/other,1021,1024,TIS or requesting framework/client above Tuner HAL,5.2.4; section_length semantics; PDF printed pp.89-90,generic-section-delivery; client-owned-semantics
STD-B10 5.13-E1,0x4A,BAT,1021,1024,TIS or requesting framework/client above Tuner HAL,5.2.5; printed pp.92-93,generic-section-delivery; client-owned-semantics
STD-B10 5.13-E1,"0x42,0x46",SDT actual/other,1021,1024,TIS or requesting framework/client above Tuner HAL,5.2.6; printed pp.95-97,generic-section-delivery; client-owned-semantics
STD-B10 5.13-E1,0x4E-0x6F,EIT p/f and schedule,4093,4096,TIS or requesting framework/client above Tuner HAL,5.2.7; printed pp.98-101,generic-section-delivery; client-owned-semantics
STD-B10 5.13-E1,0x70,TDT,5,8,TIS or requesting framework/client above Tuner HAL,5.2.8; Table 5-8,generic-section-delivery; client-owned-semantics
STD-B10 5.13-E1,0x71,RST,1021,1024,TIS or requesting framework/client above Tuner HAL,5.2.10; printed pp.103-104,generic-section-delivery; client-owned-semantics
STD-B10 5.13-E1,0x72,ST,4093,4096,TIS or requesting framework/client above Tuner HAL,5.2.11; printed pp.104-105,generic-section-delivery; client-owned-semantics
STD-B10 5.13-E1,0xC2,PCAT,4093,4096,TIS or requesting framework/client above Tuner HAL,5.2.12; printed pp.106-108,generic-section-delivery; client-owned-semantics
STD-B10 5.13-E1,0xC4,BIT,4093,4096,TIS or requesting framework/client above Tuner HAL,5.2.13; printed pp.109-110,generic-section-delivery; client-owned-semantics
STD-B10 5.13-E1,0xC5-0xC6,NBIT body/reference,4093,4096,TIS or requesting framework/client above Tuner HAL,5.2.14; printed pp.110-114,generic-section-delivery; client-owned-semantics
STD-B10 5.13-E1,0xC7,LDT,4093,4096,TIS or requesting framework/client above Tuner HAL,5.2.15; printed pp.114-116,generic-section-delivery; client-owned-semantics
STD-B10 5.13-E1,0xD0,LIT,4093,4096,TIS or requesting framework/client above Tuner HAL,Part 3 5.1.1; LIT section_length semantics,generic-section-delivery; client-owned-semantics
STD-B10 5.13-E1,0xD1,ERT,4093,4096,TIS or requesting framework/client above Tuner HAL,Part 3 5.1.2; ERT section_length semantics,generic-section-delivery; client-owned-semantics
STD-B10 5.13-E1,0xD2,ITT,4093,4096,TIS or requesting framework/client above Tuner HAL,Part 3 5.1.3; ITT section_length semantics,generic-section-delivery; client-owned-semantics
STD-B10 5.13-E1,0x4C,INT,4093,4096,TIS or requesting framework/client above Tuner HAL,5.2.17; section_length semantics; printed pp.118-121,generic-section-delivery; client-owned-semantics
STD-B10 / architecture decision,0x73,TOT,1021,1024,TIS or requesting framework/client above Tuner HAL,STD-B10 table allocation; semantic ownership fixed by psi_si_semantic_ownership.csv,generic-section-delivery; client-owned-semantics
STD-B10 / architecture decision,0xFE,AMT,4093,4096,TIS or requesting framework/client above Tuner HAL,STD-B10 table allocation; semantic ownership fixed by psi_si_semantic_ownership.csv,generic-section-delivery; client-owned-semantics
STD-B10 5.13-E1,all other/reserved/private,No Tuner HAL typed owner,syntax-field bounded only,4096 absolute 12-bit envelope,TIS or requesting framework/client above Tuner HAL,Table allocation; no inference,generic-section-delivery; client-owned-semantics
