precedence,matrix_id,handle_kind,filter_lifecycle,registry_state,data_id_class,identity_condition,aidl_result,state_after,allocation_effect,notes
1,AVH-001,ANY,ANY,ANY,NEGATIVE,not evaluated,INVALID_ARGUMENT,UNCHANGED,NONE,negative dataId precedence
2,AVH-002,MALFORMED_OR_UNSUPPORTED_FD_SHAPE,OPEN_OR_LOGICAL_CLOSED,ANY,ZERO_OR_POSITIVE,shape cannot be classified,INVALID_ARGUMENT,UNCHANGED,NONE,do not release by numeric fd equality
3,AVH-003,RETURNED_SHARED_HANDLE,OPEN_OR_LOGICAL_CLOSED,RegistryFailure,ZERO,backing identity cannot be classified,UNKNOWN_ERROR,RegistryFailure,retain/fence uncertain storage,no uncertain free
4,AVH-004,RETURNED_SHARED_HANDLE,OPEN_OR_LOGICAL_CLOSED,ActiveSharedHandleLease,ZERO,fstat + exported payload resolve current shared backing,SUCCESS,SharedHandleLeaseRemoved,release client shared-handle lease only,allocations/backing retained; later getAvSharedHandle may reacquire lease
5,AVH-005,RETURNED_SHARED_HANDLE,OPEN_OR_LOGICAL_CLOSED,KnownReleasedSharedHandleLease,ZERO,same exported backing and lease already released,SUCCESS,UNCHANGED,NONE,idempotent delayed/duplicate finalization
6,AVH-006,RETURNED_SHARED_HANDLE,OPEN_OR_LOGICAL_CLOSED,UnknownOrForeignSharedHandle,ZERO,foreign/mismatched backing identity,INVALID_ARGUMENT,UNCHANGED,NONE,malformed/foreign is not stale-known
7,AVH-007,EMPTY,OPEN_OR_LOGICAL_CLOSED,ANY,ZERO,event finalization with no allocation release,SUCCESS,UNCHANGED,NONE,no-op; never clears backing/lease/allocations
8,AVH-008,EMPTY,OPEN_OR_LOGICAL_CLOSED,ActiveCurrentOrReleaseOnly,POSITIVE,issued range and full allocation tuple identify active allocation,SUCCESS,KnownReleased,free bytes and allocation lease exactly once,works after flush/reconfigure/logical close
9,AVH-009,EMPTY,OPEN_OR_LOGICAL_CLOSED,KnownReleased,POSITIVE,ID is within this filter generation issued range but no active allocation remains,SUCCESS,KnownReleased,NONE,idempotent delayed/duplicate release; ID is never reused
10,AVH-010,EMPTY,OPEN_OR_LOGICAL_CLOSED,UnknownOrForeign,POSITIVE,never issued for this service/filter identity or wrong tuple,INVALID_ARGUMENT,UNCHANGED,NONE,unknown is distinct from known stale
11,AVH-011,EVENT_LOCAL_HANDLE,OPEN_OR_LOGICAL_CLOSED,RegistryFailure,ZERO_OR_POSITIVE,event-local fd identity cannot be classified,UNKNOWN_ERROR,RegistryFailure,retain/fence uncertain allocation,no uncertain close/free
12,AVH-012,EVENT_LOCAL_HANDLE,OPEN_OR_LOGICAL_CLOSED,ActiveEventLocal,POSITIVE,"fstat {st_dev,st_ino,size} and ledger tuple match allocation",SUCCESS,KnownReleased,close event-local handle lease and free allocation once,exact MediaEvent finalize release
13,AVH-013,EVENT_LOCAL_HANDLE,OPEN_OR_LOGICAL_CLOSED,ActiveEventLocal,ZERO,allocation retained by outstanding LinearBlock reference,SUCCESS,ActiveEventLocalHandleFinalized,close only received handle lease; allocation remains releasable by empty+dataId,matches finalize when dataId refcount remains nonzero
14,AVH-014,EVENT_LOCAL_HANDLE,OPEN_OR_LOGICAL_CLOSED,KnownReleasedOrHandleFinalized,ZERO_OR_POSITIVE,same issued tuple already terminal for requested component,SUCCESS,UNCHANGED,NONE,idempotent delayed finalization
15,AVH-015,EVENT_LOCAL_HANDLE,OPEN_OR_LOGICAL_CLOSED,UnknownOrForeign,ZERO_OR_POSITIVE,fd/dataId tuple never issued or mismatched,INVALID_ARGUMENT,UNCHANGED,NONE,foreign pair cannot release another allocation
16,AVH-016,ANY,QUARANTINED,ANY,ZERO_OR_POSITIVE,public ledger not safely classifiable,INVALID_STATE,UNCHANGED,NONE,internal reaper owns quarantine cleanup
